;CAICARA CONSTRUTORA E INCORPORADORA LTDA;;;;;;;07/07/2025;;;;;;
;Silveira Lobo, 32 - CXPST 765 - Poço - Recife/PE;;;;;;;;;;;;;
;construtora.caicara@gmail.com - CNPJ: 21.005.185/0001-05 - caicaraengenharia.com.br;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Relatório lista de documentos a pagar;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Empresa;;Doc.;Tipo;Núm.;Parc.;Obra;Fornecedor;;Venc.;Bruto (R$);Líquido (R$);Data Pgto.;Vlr. pago (R$);Situação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014149;Provisão;;1/1;ESCRITORIO CAICARA;AUTO POSTO SAO JOSE I;;08/08/2025;150,00;150,00;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014150;Provisão;;1/1;TCE - RECIFE;CONVENIENCIA EXPRESS;;08/08/2025;18,00;18,00;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014151;Provisão;;1/1;DPU - NATAL;PITEU RESTAURANTE;;08/08/2025;35,75;35,75;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014152;Provisão;;1/1;DPU - NATAL;POSTO ABASTECA;;08/08/2025;260,01;260,01;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014153;Provisão;;1/1;ESCRITORIO CAICARA;AUTO POSTO 232;;08/08/2025;298,11;298,11;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014154;Provisão;;1/1;ESCRITORIO CAICARA;TADEUS RESTAURANTE;;08/08/2025;26,00;26,00;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014155;Provisão;;1/1;ESCRITORIO CAICARA;LARISSA ANDRADE ROCHA;;08/08/2025;20,00;20,00;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014156;Provisão;;1/1;TCE - RECIFE;PETRO CABO LTDA;;08/08/2025;351,80;351,80;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014157;Provisão;;1/1;TCE - RECIFE;SERGIO ROBERTO DIAS;;08/08/2025;20,00;20,00;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014158;Provisão;;1/1;TCE - RECIFE;PROTESEG COMERCIO;;08/08/2025;164,80;164,80;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014159;Provisão;;1/1;TCE - RECIFE;SERGIO ROBERTO DIAS;;08/08/2025;20,00;20,00;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014160;Provisão;;1/1;TCE - RECIFE;FERREIRA COSTA;;08/08/2025;193,75;193,75;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014161;Provisão;;1/1;TCE - RECIFE;MP SEVERINAREFEI;;08/08/2025;19,00;19,00;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014162;Provisão;;1/1;TCE - RECIFE;RIDEL MATERIAL ELETR;;08/08/2025;156,04;156,04;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014163;Provisão;;1/1;TCE - RECIFE;MadeireiraSuape;;08/08/2025;248,45;248,45;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014164;Provisão;;1/1;TCE - RECIFE;ARMAZEM CORAL;;08/08/2025;75,00;75,00;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014165;Provisão;;1/1;TCE - RECIFE;PALMA MAQUINAS;;08/08/2025;158,30;158,30;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014166;Provisão;;1/1;TCE - RECIFE;POSTO SUL;;08/08/2025;355,72;355,72;;0,00;Em aprovação
CAICARA CONSTRUTORA E INCORPORADORA LTDA;;014167;Provisão;;1/1;TCE - RECIFE;MadeireiraSuape;;08/08/2025;104,40;104,40;;0,00;Em aprovação
PALLAS ENGENHARIA LTDA;;014168;Provisão;;1/1;MEP - ESCOLA SEBASTIAO QUIRINO;NEXERINDUSTRIA;;08/08/2025;2.510,31;2.510,31;;0,00;Em aprovação
PALLAS ENGENHARIA LTDA;;014169;Provisão;;1/1;MEP - ESCOLA SEBASTIAO QUIRINO;RONALDO AUTO;;08/08/2025;297,00;297,00;;0,00;Em aprovação
